YEAR,MONTH,BENE_STATE_ABRVTN,BENE_STATE_DESC,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,ma_penetration
2013,January,ID,Idaho,256030.0,179150.0,76880.0,0.3002773112525876
2013,January,IL,Illinois,1960190.0,1739796.0,220394.0,0.11243501905427535
2013,January,IN,Indiana,1081634.0,852044.0,229590.0,0.21226218850368977
2013,January,IA,Iowa,543983.0,466817.0,77166.0,0.1418536976339334
2013,January,KS,Kansas,461007.0,402403.0,58604.0,0.12712171398698935
2013,January,KY,Kentucky,817323.0,631774.0,185549.0,0.22702040686485025
2013,January,LA,Louisiana,738486.0,542829.0,195657.0,0.2649434112495024
2013,January,ME,Maine,287503.0,237605.0,49898.0,0.17355644984574073
2013,January,MD,Maryland,861694.0,785783.0,75911.0,0.08809507783505513
2013,January,MA,Massachusetts,1142767.0,932032.0,210735.0,0.18440767015498347
2013,January,MI,Michigan,1782186.0,1300177.0,482009.0,0.2704594245494017
2013,January,MN,Minnesota,851469.0,433775.0,417694.0,0.4905569081199668
2013,January,MS,Mississippi,529896.0,462148.0,67748.0,0.12785150293642525
2013,January,MO,Missouri,1074878.0,811163.0,263715.0,0.24534412277486375
2013,January,MT,Montana,185461.0,156788.0,28673.0,0.15460393290233526
2013,January,NE,Nebraska,295310.0,259232.0,36078.0,0.12216992313162439
2013,January,NV,Nevada,406596.0,277794.0,128802.0,0.316781276746451
2013,January,NH,New Hampshire,242371.0,228527.0,13844.0,0.057119044770207655
2013,January,NJ,New Jersey,1415537.0,1191331.0,224206.0,0.158389360362887
2013,January,NM,New Mexico,342490.0,243120.0,99370.0,0.29013985809804665
2013,January,NY,New York,3172548.0,2113434.0,1059114.0,0.3338370294161034
2013,January,NC,North Carolina,1639194.0,1304068.0,335126.0,0.20444559948364868
2013,January,ND,North Dakota,112567.0,97800.0,14767.0,0.13118409480576013
2013,January,OH,Ohio,2034604.0,1276632.0,757972.0,0.37254030759794043
2013,January,OK,Oklahoma,645646.0,539360.0,106286.0,0.16461962127853344
2013,January,OR,Oregon,688353.0,399416.0,288937.0,0.419751203234387
2013,January,PA,Pennsylvania,2415224.0,1469536.0,945688.0,0.3915529160028221
2013,January,RI,Rhode Island,193587.0,125347.0,68240.0,0.3525030089830412
2013,January,SC,South Carolina,861351.0,691187.0,170164.0,0.1975547715159093
2013,January,SD,South Dakota,145475.0,124873.0,20602.0,0.14161883485134902
2013,January,TN,Tennessee,1154932.0,812514.0,342418.0,0.29648325615707244
2013,January,TX,Texas,3334115.0,2429832.0,904283.0,0.271221298605477
2013,January,UT,Utah,314856.0,210705.0,104151.0,0.33078931320984833
2013,January,VT,Vermont,121914.0,112985.0,8929.0,0.07324015289466346
2013,January,VA,Virginia,1250897.0,1060783.0,190114.0,0.1519821376180453
2013,January,WA,Washington,1081532.0,774693.0,306839.0,0.2837077405014369
2013,January,WV,West Virginia,400347.0,307606.0,92741.0,0.23165154228706597
2013,January,WI,Wisconsin,981159.0,653689.0,327470.0,0.3337583409009141
2013,January,WY,Wyoming,87217.0,83921.0,3296.0,0.037790797665592714
2013,January,AS,American Samoa,3678.0,3571.0,107.0,0.02909189777052746
2013,January,GU,Guam,13295.0,13242.0,53.0,0.003986461075592328
2013,January,MP,Northern Mariana Islands,1836.0,,,
2013,January,PR,Puerto Rico,700954.0,192936.0,508018.0,0.7247522661972112
2013,January,VI,Virgin Islands,17502.0,17364.0,138.0,0.007884813164209805
2013,January,UK,Unknown,,,,
2013,January,FO,Foreign and Other Outlying Areas,390464.0,388431.0,2033.0,0.0052066259629568925
2013,February,AL,Alabama,912505.0,705184.0,207321.0,0.22719985095972076
2013,February,AK,Alaska,74506.0,73910.0,596.0,0.007999355756583362
2013,February,AZ,Arizona,1037128.0,648845.0,388283.0,0.3743829112703543
2013,February,AR,Arkansas,567744.0,464477.0,103267.0,0.18189007721790101
2013,February,CA,California,5226879.0,3284877.0,1942002.0,0.3715414112322095
2013,February,CO,Colorado,708687.0,460271.0,248416.0,0.3505299236475341
2013,February,CT,Connecticut,602246.0,464633.0,137613.0,0.22849964964482952
2013,February,DE,Delaware,165732.0,153988.0,11744.0,0.07086139067892742
2013,February,DC,District of Columbia,82838.0,74017.0,8821.0,0.10648494652212753
2013,February,FL,Florida,3714693.0,2386751.0,1327942.0,0.35748364669704874
2013,February,GA,Georgia,1392933.0,1031514.0,361419.0,0.25946617676514233
2013,February,HI,Hawaii,226640.0,123349.0,103291.0,0.45574920578891637
2013,February,ID,Idaho,256606.0,179285.0,77321.0,0.30132187088376733
2013,February,IL,Illinois,1963281.0,1743357.0,219924.0,0.11201860558931706
2013,February,IN,Indiana,1082813.0,852385.0,230428.0,0.21280498110015303
2013,February,IA,Iowa,544301.0,467032.0,77269.0,0.1419600551900511
2013,February,KS,Kansas,461381.0,402750.0,58631.0,0.127077187833916
2013,February,KY,Kentucky,818534.0,632149.0,186385.0,0.22770587416038918
2013,February,LA,Louisiana,739828.0,543475.0,196353.0,0.26540358029163535
2013,February,ME,Maine,287827.0,237629.0,50198.0,0.17440337424911492
2013,February,MD,Maryland,863628.0,787642.0,75986.0,0.08798464153547592
2013,February,MA,Massachusetts,1144053.0,933215.0,210838.0,0.18429041311897262
2013,February,MI,Michigan,1785021.0,1301863.0,483158.0,0.2706735663053824
2013,February,MN,Minnesota,852814.0,433528.0,419286.0,0.49164999636497525
2013,February,MS,Mississippi,530600.0,462831.0,67769.0,0.12772144741801733
2013,February,MO,Missouri,1076244.0,811843.0,264401.0,0.24567012684855852
2013,February,MT,Montana,185800.0,156939.0,28861.0,0.15533369214208825
2013,February,NE,Nebraska,295672.0,259591.0,36081.0,0.12203049324927623
2013,February,NV,Nevada,407567.0,278397.0,129170.0,0.31692948644026625
2013,February,NH,New Hampshire,242874.0,229048.0,13826.0,0.0569266368569711
2013,February,NJ,New Jersey,1417201.0,1192334.0,224867.0,0.1586698005434656
2013,February,NM,New Mexico,343201.0,243530.0,99671.0,0.2904158204667236
2013,February,NY,New York,3176559.0,2113103.0,1063456.0,0.33478238559397133
2013,February,NC,North Carolina,1642102.0,1305859.0,336243.0,0.2047637722869834
2013,February,ND,North Dakota,112581.0,97638.0,14943.0,0.13273110027446905
2013,February,OH,Ohio,2036849.0,1277604.0,759245.0,0.3727546813730424
2013,February,OK,Oklahoma,646181.0,540045.0,106136.0,0.16425119277725592
2013,February,OR,Oregon,689741.0,400211.0,289530.0,0.4197662600889319
2013,February,PA,Pennsylvania,2417000.0,1470758.0,946242.0,0.3914944145635085
2013,February,RI,Rhode Island,193746.0,125507.0,68239.0,0.3522085617251453
2013,February,SC,South Carolina,862972.0,691230.0,171742.0,0.1990122506871602
2013,February,SD,South Dakota,145669.0,124872.0,20797.0,0.14276888013235486
2013,February,TN,Tennessee,1156779.0,813355.0,343424.0,0.29687952495679815
2013,February,TX,Texas,3340540.0,2436627.0,903913.0,0.2705888868266807
2013,February,UT,Utah,315526.0,211174.0,104352.0,0.33072393400226924
2013,February,VT,Vermont,122137.0,113205.0,8932.0,0.07313099224641181
2013,February,VA,Virginia,1253265.0,1062666.0,190599.0,0.15208196191547677
2013,February,WA,Washington,1084025.0,775872.0,308153.0,0.28426742925670534
2013,February,WV,West Virginia,400708.0,308184.0,92524.0,0.23090130469069747
2013,February,WI,Wisconsin,982462.0,653855.0,328607.0,0.3344729872503975
2013,February,WY,Wyoming,87418.0,84126.0,3292.0,0.037658148207462994
2013,February,AS,American Samoa,3716.0,3605.0,111.0,0.029870828848223896
2013,February,GU,Guam,13341.0,13289.0,52.0,0.0038977587886964995
2013,February,MP,Northern Mariana Islands,1848.0,,,
2013,February,PR,Puerto Rico,702744.0,193034.0,509710.0,0.7253139123208452
2013,February,VI,Virgin Islands,17568.0,17426.0,142.0,0.00808287795992714
2013,February,UK,Unknown,,,,
2013,February,FO,Foreign and Other Outlying Areas,390870.0,388964.0,1906.0,0.004876301583646736
2013,March,AL,Alabama,914546.0,706924.0,207622.0,0.2270219321936786
2013,March,AK,Alaska,74915.0,74318.0,597.0,0.00796903156911166
